S. No.,source,startupName,website,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
61,VI,Authbase,http://authbase.net/,,"Avishkar, the incubator run by the Indian Institute of Information Technology, Hyderabad (IIIT-H) has seed-funded five early stage startups with INR 10 lakh each. The accelerator would take up 2% equity stake in the start-ups by converting its convertible debentures at a later stage. Authbase, a cybersecurity startup that utilizes machine learning,",Technology,Software & Computer Services,Software and Internet Services,,B2C,Internet Security,,,Hyderabad,,,Enterprise Security,,,,,,,,,,IIIT-H,01/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,VI,Autoyaar,,,"Autoyaar is an online marketplace for Car & Bike Service and Repairs, Car Spa, Accidental Repair, Tyres, Batteries and a lot of other after sale services. It aims to bridge the gap between customers and the service providers making it easy for them to plan and manage their bookings efficiently.",Consumer_services,Retail,Consumer Products and Services,,B2C,Car and Bike Servicing and repairs,,,Mumbai,,,Automobiles & Auto Parts services,,,,,,,,,,Zone Startups India,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,VI,Avani Agrimation Solutions,http://www.avaniagro.com,,"owning and managing agriculture farms, distribution of specialty fertilizers, consulting for setting up precision agro units.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B2C,Consulting for agriculture,,,Hyderabad,,,Agriculture Autoomation and Support,,,,,,,,,,NIT-Calicut TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,VI,Avanti Accounting Services,,,"IT Enable Services in Accounting, Auditing & Taxation",Financials,Financial services,Fin-Tech and Payments,,B2B,Accounitng and Taxation,,,Coimbatore,,, Financial Software Solutions and Information Systems,,,,,,,,,,PSG - STEP,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,VI,Avieum Life Sciences ,http://www.avieum.com/,,"Avieum Life Sciences is a contract research organization, which supports global pharmaceutical R&D organizations to help accelerate their drug discovery research.",Healthcare,Healthcare,Health-Tech,,B2B,Drug Development,,,Pune,,,Pharmaceuticals and drug development and manufacturing,,,,,,,,,,NCL - Venture Center,03/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,VI,Awesummly,http://www.awesummly.com/,,Awesummly provides realtime news summary at your fingertips.,Consumer_services,Media,"Media, Advertising and Gaming",,B2C,News,,,Bengaluru,,,Media,,,,,,,,,,Axilor Ventures,10/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,VI,Axis Rooms Travel,http://www.axisrooms.com,,Target is an online hotel reservation software.,Consumer_services,Travel and Leisure,Internet marketplace and eCommerce,,B2C,Hotel Booking,,,Bengaluru,,,Booking,,,,,,,,,,CTA@India,04/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,VI,Axon Automated Systems,,,Axon Automated Systems specialises in building smart machines to automate kitchen.where set of appliances that would cook for all by themselves.,Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Kitchen electonics devices,,,Chennai,,,Furnishings & Home Construction,,,,,,,,,,IIT-M,12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,VI,Azooka Life Sciences,http://www.tintorang.com/,,"Azooka Life Sciences aims to replace biohazardous fluorescent stains eco-system and avenues for downstream products with safer and efficient series. Fluorescent dyes are used across molecular diagnostics and life sciences research areas such as Biological Research Labs, Clinics, and Point-Of-Care terminals. Upgrading all the users to a safer world is going to a long journey. Azooka Life Sciences has created a new range of safe nucleic acid dye named Tito rang developed from the bark of a plant widely grown in India. It aims to replace the entire biohazardous fluorescent which stains the eco-system.",Technology,Technology Hardware & Equipment,Clean Technology,,B2B,Product to reduce pollution,,,Bengaluru,,,Pollution control,,,,,,,,,,IISc-SID,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,VI,Azuro,,,"Azuro is an end to end tech-enabled real estate asset management solution for home owners, offering users a complete rental management service",Industrials,Industrial goods and services,Real estate,,B2B2C,Fitness,,,,,,Property management services,,,,,,,,,,Moonshot Accelerator,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,VI,B2BSphere,https://b2bsphere.com/,,Texas & Bangalore-based B2BSphere is a social marketplace for buyers and suppliers to connect and exchange information at a global level.,Technology,Software & Computer Services,Social Platforms,,B2B,Marketplace for buyers and sellers to connect,,,Bengaluru,,,Social platforms for industrial services,,,,,,,,,,Amrita - TBI,01/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,VI,Balance,https://www.balance.tech/,,"Fintech startup Balance has raised INR 1.5 crore from discount broking firm Zerodha, which has invested through its Rainmatter Fund. Balance is set to launch an app designed to help individuals make smart savings and invest in low-risk mutual funds. The funds will be used to hire designers and developers. The app is designed to understand spending patterns of individuals and use its proprietary spend analysis engine to suggest saving methods. It also allows individuals to invest in low-risk debt mutual funds with no lock-in or exit load and get returns of up to 8.7%. The app, which will be launched shortly, will connect to the trading accounts of Zerodhas Kite trading platform.",Financials,Financial services,Fin-Tech and Payments,,B2B2C,App to manage finances,,,Bengaluru,,,Investment advisory and consultancy and financial consumer services,,,,,,,,,,RainMatter,05/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,VI,Basil Advisors,http://www.basiladvisors.com/,,Basil Advisors is a Talent Advisory company that works with Private Equity & Venture Capital Funds and partners with them to hire exceptional talent for their portfolio companies across industry verticals globally. We love the startup eco-system and we love to work with startups that need support in hiring leadership talent & advisory board members.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Hire employees,,,Delhi,,,Business Training & Employment Agencies,,,,,,,,,,Investopad,02/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,VI,BeeWise,http://www.beewise.in/,,BeeWise is a fintech startup in the personal finance space,Financials,Financial services,Fin-Tech and Payments,,B2C,Helps manage finances,,,Mumbai,,,Investment advisory and consultancy and financial consumer services,,,,,,,,,,500 Startups,11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,VI,BeHungry,http://www.behungry.in/,,"An online food ordering platform providing pocket friendly combo meals from restaurants nearby. Its backend systems help restaurants optimize their operations by creating combo-meal offers based on their current inventory and push offers to customers on-the-fly. It claims to have served 12,000+ orders by June 2016.",Consumer_goods,Food and beverage,Hyperlocal and Logistics,,B2C,Mobile app payment,,,Hyderabad,,,Food Services,,,,,,,,,,Spark10,07/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,VI,Bempu,http://www.bempu.com/,,BEMPU is developing an intuitive neonatal temperature monitor that empowers mothers to better manage their newborn's temperature thereby preventing such death and illness.,Healthcare,Healthcare,Health-Tech,,B2C,Device for newborn baby,,,Bengaluru,,,Telemedicine and Online health care platforms,,,,,,,,,,Villgro,11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,VI,Bestosys,http://bestosys.com/,,It provides affordable practice management and booster software with premium features.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Software for enterprise,,,Pune,,,Enterprise Software,,,,,,,,,,Amplifi,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,VI,Betaout ,https://www.betaout.com/,,"Betaout is an ecommerce-based B2C marketing software that lets users communicate via personalised email, on-site engagement, SMS, mobile push, and cart recovery with their customers.",Technology,Software & Computer Services,Software and Internet Services,,B2B2C,Software for communicating to customers,,,Noida,,,Communication services,,,,,,,,,,Microsoft Accelerator,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,VI,Bhajsasva Innovation,,,,,,,,,,,,Bengaluru,,,,,,,,,,,,,Amrita - TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,VI,Bharat Agro Products,,,Target manufactures Tractor Mounted Pulverizer which can manufacture high calorific fuel for power plants from the cut wastes of Julie flora thorn and wastes which presently are burnt in the open by farmers.,Utilities,Utilities,Industrial and Business Products and Services,,B2B2C,Agriucultural equipment,,,Trichy,,,Agriculture Autoomation and Support,,,,,,,,,,TREC - STEP,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,VI,Bharat Bazaar,https://bharatbazaarapp.com/,,"Mumbai-based White Shadow Technology Pvt. Ltd that operates online B2B marketplace Bharat Bazaar, has raised seed funding from BeeNext, TV Mohandas Pai, Kunal Shah and Sandeep Tandon (FreeCharge co-founders). Others who participated in the round include Rohit Bansal and Kunal Bahl (Snapdeal co-founders), Anupam Mittal (co-founder, Shaadi.com), Amit Gupta (co-founder of Inmobi), Tracxn Labs and others.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Marketplace for shopping,,,,,,Marketplace,,,,,,,,,,Tracxn Labs,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,VI,BinBag,http://www.getbinbag.com/,,BinBag is a fun and responsible way for individuals to dispose e-waste. BinBag organizes cash-for-trash events where individuals can exchange their waste electrical and electronics equipment for gifts/coupons,Consumer_services,Retail,Consumer Products and Services,,B2C,Manage ewaste,,,Bengaluru,,,Home Improvement Retailers,,,,,,,,,,IIM-B NSRCEL,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,VI,Bizbee,http://www.bizbee.io,,"Amrita University’s Technology Business Incubator (TBI) has committed $350,000 in seed funding for five start-ups. Bizbee is a one-stop-platform for all stakeholders of SME ecosystem, with everybody accessing latest data according to accessibility levels.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Small Midsized companies development,,,Hyderabad,,,Buisness and Management consultancy,,,,,,,,,,Amrita - TBI,02/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,VI,BloodPort,http://www.bloodport.in/,,Bloodport helps people find blood donors to the nearest of their presernt locations. They also provide a service for Bloodsure where one can order blood for atleast 7 days before.,Healthcare,Healthcare,Health-Tech,,B2C,Connect people to Bloodbank,,,Delhi,,,Pharmacy & Medical Supplies,,,,,,,,,,Startup Tunnel,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,VI,BloomchemAG,http://www.bloomchemag.com/,,"BloomchemAG business venture has been set-up to represent Global firms in Food, Agri & Life Sciences Sectors, particularly in CRAMS (Contract Research & Manufacturing Services) space, with an aim to increase their footprint in Indian subcontinent, and conversely support Indian and other Asian specialty chemical producers to scale-up their operations and gain larger share of global markets",Consumer_goods,Food and beverage,Consumer Products and Services,,B2B,TO improve food and Agriculture,,,Noida,,,Farming & Agriculture,,,,,,,,,,Amity university,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,VI,Blue Semiconductors,,,"Avishkar, the incubator run by the Indian Institute of Information Technology, Hyderabad (IIIT-H) has seed-funded five early stage startups with INR 10 lakh each. The accelerator would take up 2% equity stake in the start-ups by converting its convertible debentures at a later stage. Blue Semiconductors is a semiconductor startup.",Technology,Technology Hardware & Equipment,Technology,,B2B,Semiconductor products,,,Hyderabad,,,Semiconductors,,,,,,,,,,IIIT-H,01/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,VI,BlueSinQ Automations,http://www.bluesinq.com,,"Bluesinq connects people with their homes through their smart phones. Bluesinq builds easy to use and plug-n-play home automation products which are highly customizable, catering to the need of every customer.",Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Home devices and Smart Home IOT,,,Chennai,,,Furnishings & Home Construction,,,,,,,,,,IIT-M,11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,VI,Bodhi Health Education,http://www.bodhihealthedu.org/,,"The Centre for Innovation, Incubation and Entrepreneurship (CIIE), a start-up incubation centre at the Indian Institute of Management (Ahmedabad), in partnership with Village Capital, has selected Bodhi Health Education for investments worth $50,000. Bodhi Health Education leverages mobile technology coupled with eLearning to create training solutions for bottom-of-the-pyramid health workers. The investment will be used for developing additional curriculum and courses for frontline health workers and to set up a business development team.   In Aug 2015, Bodhi Health Education was incubated at IIMC Innovation Park. It also received Rs. 1.25 lakh as seed funding from the Tata Social Enterprise Challenge.",Healthcare,Healthcare,Health-Tech,,B2C,Training for healthcare,,,Gurgaon,,,Pharmaceuticals and drug development and manufacturing,,,,,,,,,,Last Mile,09/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,VI,BookmyBank,http://www.bookmybank.com/,,Online service for applying for loans and credit cards.,Financials,Financial services,Fin-Tech and Payments,,B2B2C,Apply loans and credits,,,Delhi,,, Banking and Non Banking Financial services,,,,,,,,,,Startup Tunnel,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,VI,Bookstreet,https://bookstreet.in/,,Sell books online,Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Vehicle,,,Mumbai,,,Automobiles & Auto Parts services,,,,,,,,,,BSE-Ryerson,03/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,VI,Breathe Well-being,http://www.breathewellness.in/,,"Gurgaon-based startup accelerator Global Super Angels Forum (GSF) has made fresh investments in five startups which constitute its fifth batch for its accelerator programme: bot-assistant player YellowAnt, artificial intelligence (AI)-driven chatbot solution HeyMojo, deep-learning tech startup Silversparrow, app-based health program Breathe Well-being, and tech-enabled investment platform Oro Wealth. GSF has invested USD 65,000-100,000 in each of these startups which will be heading to San Francisco and Tokyo in March to network with the tech ecosystems there.",Healthcare,Healthcare,Health-Tech,,B2C,Healthcare mobile app,,,Gurgaon,,,Telemedicine and Online health care platforms,,,,,,,,,,Global Super Angels Forum (GSF),02/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,VI,Breathing Room,,,"Breathing Room is a network for professional workspaces that come with fast Wi-Fi, tea/coffee, projectors, whiteboards and LED TVs at great prices.",Industrials,Industrial goods and services,Real estate,,B2B,Cleaning products,,,Mumbai,,,"Buy , Rent and Sell Property",,,,,,,,,,Zone Startups India,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,VI,Brevity,http://brevity.ga,,"Brevity sends summarized insights from non-fiction articles, videos and books (tech, entrepreneurship, marketing, creativity, psychology and more) from the best publications and thought leaders. The company raised angel funding.",Consumer_services,Media,"Media, Advertising and Gaming",,B2C,Media articles movies and videos online,,,Delhi,,,Movies and video,,,,,,,,,,Startup Tunnel,02/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,VI,BricApp,http://bricapp.com,,"Bric App is a cloud-based business card management solution that enables users to digitise and store,sync, share and manage business cards from a mobile device. Bric provides easy integrations to the phone book, Google contacts, MS outlook and popular CRM like Salesforce, Zoho, etc. Bric also facilitates easier sharing of business cards by converting the personal business card to a unique URL that can be shared via Email /SMS etc thus eliminating the need to carry business cards in person.",Technology,Software & Computer Services,Software and Internet Services,,B2C,Mobile application to manage buisness cards and contacts,,,Bengaluru,,,Internet and software development,,,,,,,,,,Amplifi,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
